"","essround","cntry","polintr","trstprl","trstplt","trstep","vote","contplt","wrkprty","wrkorg","badge","sgnptit","pbldmn","bctprd","clsprty","stfdem","gndr","eisced","uempla","uempli","dsbld","mainact","pdjobev","wrkctra","mbtru"
"31623",7,"NL","Very interested","8","7","6","Yes","No","No","Yes","No","Yes","No","No","No","8","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Education","Not applicable","Limited","No"
"31627",7,"NL","Quite interested","7","8","6","Yes","Yes","No","Yes","No","Yes","No","No","No","4","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31628",7,"NL","Quite interested","3","4","4","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","3","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31629",7,"NL","Quite interested","8","8","7","Yes","No","No","Yes","No","Yes","No","No","Yes","8","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Paid work","Not applicable","Limited","No"
"31630",7,"NL","Quite interested","8","7","6","Yes","No","No","No","No","Yes","No","No","No","8","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","No"
"31633",7,"NL","Hardly interested","7","7","6","Yes","No","No","No","No","No","No","No","Yes","7","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31635",7,"NL","Quite interested","6","5","6","Yes","No","No","Yes","No","Yes","No","No","Yes","9","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31636",7,"NL","Quite interested","7","6","5","Yes","No","No","Yes","No","No","No","Yes","No","5","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Education","Not applicable","Limited","No"
"31638",7,"NL","Quite interested","5","5","Don't know","Yes","Yes","No","Yes","Yes","Yes","No","No","No","5","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"31639",7,"NL","Very interested","5","4","No trust at all","Yes","No","No","No","No","No","No","No","Yes","5","Male","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","Yes, previously"
"31674",7,"NL","Hardly interested","7","6","7","Yes","No","No","No","No","Yes","No","No","No","8","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"31675",7,"NL","Quite interested","4","4","4","Yes","No","No","Yes","No","No","No","No","Yes","4","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"31680",7,"NL","Quite interested","1","1","No trust at all","Yes","Yes","No","Yes","No","No","No","Yes","Yes","2","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Education","Not applicable","No contract","No"
"31685",7,"NL","Quite interested","6","6","5","Yes","No","No","No","No","No","No","No","No","4","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"31688",7,"NL","Quite interested","8","5","7","Yes","No","No","No","No","No","No","Yes","Yes","7","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31704",7,"NL","Very interested","7","6","6","Yes","No","No","Yes","No","Yes","No","No","No","6","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31725",7,"NL","Quite interested","5","4","5","Yes","No","No","No","No","No","No","No","No","6","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31737",7,"NL","Quite interested","4","4","5","Yes","No","No","No","No","Yes","No","No","No","7","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31776",7,"NL","Hardly interested","7","4","5","Yes","No","No","No","No","No","No","No","Yes","7","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31794",7,"NL","Quite interested","5","4","3","Yes","No","No","Yes","No","No","No","Yes","Yes","3","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, previously"
"31796",7,"NL","Hardly interested","4","3","3","No","No","No","No","No","No","No","No","No","2","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"31798",7,"NL","Quite interested","8","6","1","Yes","No","No","Yes","No","Yes","No","Yes","Yes","9","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"31805",7,"NL","Hardly interested","3","7","7","No","No","No","No","No","No","No","No","No","6","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31832",7,"NL","Quite interested","2","5","2","No","No","No","No","No","Yes","No","No","No","4","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Marked","Not marked","Housework, looking after children, others","Yes","Not applicable","No"
"31856",7,"NL","Quite interested","7","7","6","Yes","Yes","No","Yes","No","No","No","No","Yes","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"31858",7,"NL","Hardly interested","6","7","6","Yes","Yes","No","Yes","No","No","No","No","No","8","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"31864",7,"NL","Quite interested","7","6","Don't know","Yes","No","No","Yes","No","No","No","No","No","7","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31866",7,"NL","Quite interested","6","7","6","Yes","No","No","No","No","Yes","No","No","Yes","6","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31875",7,"NL","Quite interested","6","6","Don't know","Yes","No","No","No","No","No","No","No","No","5","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31882",7,"NL","Quite interested","8","5","Complete trust","No","No","No","No","No","Yes","No","No","Yes","8","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"31894",7,"NL","Quite interested","6","8","4","No","No","No","No","No","No","No","No","Yes","9","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31903",7,"NL","Quite interested","5","7","7","Yes","Yes","No","No","No","Yes","No","Yes","Yes","6","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"31914",7,"NL","Not at all interested","6","6","8","Yes","No","No","No","No","No","No","No","No","6","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","Yes, currently"
"31917",7,"NL","Hardly interested","3","1","1","Yes","No","No","No","No","Yes","No","No","Yes","6","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"31918",7,"NL","Hardly interested","1","4","No trust at all","Yes","Yes","No","No","No","Yes","No","Yes","Yes","2","Male","ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Paid work","Not applicable","Limited","Yes, currently"
"31934",7,"NL","Quite interested","3","5","6","Yes","No","No","Yes","No","Yes","No","No","No","5","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"31952",7,"NL","Quite interested","4","4","5","Yes","Yes","No","No","No","Yes","No","No","Yes","5","Female","ES-ISCED IIIb, lower tier upper secondary","Marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"31961",7,"NL","Quite interested","4","4","5","Yes","No","No","Yes","No","No","No","No","Yes","7","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"31962",7,"NL","Hardly interested","3","3","3","Yes","No","No","Yes","No","Yes","No","No","Yes","3","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"31999",7,"NL","Hardly interested","5","4","6","Yes","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"32014",7,"NL","Quite interested","7","7","8","Yes","No","No","No","No","No","No","No","Yes","7","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"32016",7,"NL","Hardly interested","5","7","6","Yes","No","No","No","No","No","No","No","No","8","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","No"
"32017",7,"NL","Hardly interested","8","7","7","Yes","No","No","No","No","No","Yes","No","Yes","9","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"32018",7,"NL","Hardly interested","7","5","7","Yes","No","No","Yes","No","Yes","No","No","Yes","8","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"32019",7,"NL","Quite interested","7","5","7","Not eligible to vote","No","No","No","No","No","No","No","No","7","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"32029",7,"NL","Quite interested","6","6","5","Yes","Yes","No","No","No","No","No","No","No","4","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","No"
"32032",7,"NL","Hardly interested","5","5","4","No","No","No","No","No","No","No","No","No","6","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"32037",7,"NL","Quite interested","5","2","Don't know","No","Yes","No","No","No","No","No","No","No","5","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Yes","Don't know","No"
"32042",7,"NL","Hardly interested","4","5","4","No","No","No","No","No","Yes","No","No","No","5","Female","ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"32043",7,"NL","Hardly interested","7","4","6","Yes","No","No","No","No","No","No","No","No","7","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"32064",7,"NL","Quite interested","7","6","4","Yes","No","No","No","No","Yes","No","No","No","8","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"32066",7,"NL","Hardly interested","8","9","Don't know","Yes","No","Yes","Yes","No","No","No","Yes","No","7","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"32098",7,"NL","Very interested","5","4","3","Yes","Yes","No","Yes","No","No","No","No","Yes","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"32099",7,"NL","Very interested","5","3","2","No","Yes","No","No","No","No","No","Yes","No","4","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, previously"
"32108",7,"NL","Very interested","8","8","7","Yes","Yes","No","No","No","No","No","No","Yes","8","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
